,fp32,top1,imsize
adv_inception_v3,22.53640651702881,83.902,299.0
mobilenetv2_120d,13.914711475372314,83.89299999999999,224.0
seresnext26t_32x4d,16.58782958984375,83.87799999999999,224.0
tv_resnet101,24.6561336517334,83.848,224.0
inception_v3,22.784764766693115,83.76100000000001,299.0
hardcorenas_d,17.058401107788086,83.759,224.0
seresnext26d_32x4d,16.565802097320557,83.75399999999999,224.0
dla60,15.73573112487793,83.729,224.0
repvgg_b1g4,19.077744483947754,83.699,224.0
legacy_seresnet50,19.75764513015747,83.662,224.0
tf_efficientnet_b0_ap,15.696699619293213,83.65,224.0
skresnet34,22.068228721618652,83.641,224.0
tf_efficientnet_cc_b0_4e,17.553105354309082,83.639,224.0
resmlp_12_224,4.048259258270264,83.571,224.0
densenet201,49.57787752151489,83.556,224.0
mobilenetv3_large_100_miil,11.783394813537598,83.556,224.0
gernet_s,10.78639268875122,83.522,224.0
legacy_seresnext26_32x4d,15.90550422668457,83.51700000000001,224.0
mixnet_m,24.742238521575928,83.515,224.0
tf_efficientnet_b0,15.570008754730225,83.515,224.0
hrnet_w18,78.14085006713867,83.5,224.0
densenetblur121d,30.081913471221924,83.47200000000001,224.0
selecsls42b,12.409875392913818,83.45700000000001,224.0
tf_efficientnet_lite1,11.537988185882568,83.344,240.0
hardcorenas_c,12.615303993225098,83.34200000000001,224.0
regnetx_016,19.429233074188232,83.195,224.0
mobilenetv2_140,9.3467116355896,83.182,224.0
dpn68,32.70716190338135,83.178,224.0
tf_efficientnet_es,9.875457286834717,83.178,224.0
tf_mixnet_m,25.16129493713379,83.176,224.0
ese_vovnet19b_dw,7.285418510437012,83.109,224.0
levit_128s,7.949166297912598,83.069,224.0
resnet26d,8.064417839050293,83.05,224.0
repvgg_a2,12.027881145477295,83.001,224.0
tv_resnet50,13.208227157592773,82.958,224.0
hardcorenas_b,11.70189619064331,82.87299999999999,224.0
densenet121,29.414219856262207,82.823,224.0
vit_tiny_r_s16_p8_384,8.360729217529297,82.691,384.0
densenet169,41.47421360015869,82.68299999999999,224.0
mixnet_s,20.370938777923584,82.525,224.0
vit_small_patch32_224,6.572155952453613,82.514,224.0
regnety_008,22.462012767791748,82.493,224.0
efficientnet_lite0,8.851077556610107,82.382,224.0
resnest14d,7.5067853927612305,82.34899999999999,224.0
hardcorenas_a,9.79759693145752,82.31299999999999,224.0
efficientnet_es_pruned,9.677238464355469,82.296,224.0
mobilenetv3_rw,12.055420875549316,82.275,224.0
semnasnet_100,12.051868438720703,82.251,224.0
mobilenetv3_large_100,11.939566135406494,82.177,224.0
resnet34,11.482102870941162,82.13799999999999,224.0
mobilenetv2_110d,11.972315311431885,82.07,224.0
vit_tiny_patch16_224,6.647017002105713,82.066,224.0
tf_mixnet_s,20.821356773376465,82.038,224.0
repvgg_b0,14.782853126525879,82.001,224.0
deit_tiny_distilled_patch16_224,6.631865501403809,81.99700000000001,224.0
mixer_b16_224,5.857203006744385,81.978,224.0
pit_ti_distilled_224,11.387217044830322,81.96700000000001,224.0
hrnet_w18_small_v2,40.0214958190918,81.961,224.0
tf_efficientnet_lite0,9.183862209320068,81.95200000000001,224.0
resnet26,7.71432638168335,81.944,224.0
tf_mobilenetv3_large_100,12.049391269683838,81.848,224.0
tv_densenet121,29.645564556121826,81.726,224.0
regnety_006,23.649604320526123,81.7,224.0
dla34,10.816187858581543,81.658,224.0
fbnetc_100,11.311442852020264,81.559,224.0
legacy_seresnet34,16.80896759033203,81.53399999999999,224.0
gluon_resnet34_v1b,11.373028755187988,81.5,224.0
regnetx_008,19.651708602905273,81.485,224.0
mnasnet_100,9.475789070129395,81.459,224.0
vgg19_bn,21.40399694442749,81.444,224.0
convit_tiny,8.962047100067139,81.126,224.0
spnasnet_100,11.406304836273193,80.878,224.0
ghostnet_100,15.808005332946777,80.699,224.0
regnety_004,29.50500249862671,80.65899999999999,224.0
skresnet18,12.039923667907715,80.637,224.0
regnetx_006,16.601219177246094,80.62899999999999,224.0
pit_ti_224,11.367049217224121,80.605,224.0
swsl_resnet18,6.388416290283203,80.575,224.0
vgg16_bn,18.277535438537598,80.556,224.0
tv_resnet34,11.475884914398193,80.389,224.0
resnet18d,6.916868686676025,80.387,224.0
mobilenetv2_100,9.230058193206787,80.257,224.0
ssl_resnet18,6.415367126464844,80.101,224.0
tf_mobilenetv3_large_075,11.915311813354492,80.093,224.0
deit_tiny_patch16_224,6.59926176071167,80.018,224.0
hrnet_w18_small,22.430191040039062,79.557,224.0
vgg19,20.628080368041992,79.48,224.0
regnetx_004,23.761541843414307,79.435,224.0
tf_mobilenetv3_large_minimal_100,8.6152982711792,79.222,224.0
legacy_seresnet18,9.321844577789307,79.153,224.0
vgg16,17.57899045944214,79.038,224.0
vgg13_bn,15.178887844085693,79.006,224.0
vit_tiny_r_s16_p8_224,6.904339790344238,78.991,224.0
gluon_resnet18_v1b,6.424798965454102,78.372,224.0
vgg11_bn,11.495509147644043,77.926,224.0
regnety_002,23.84559392929077,77.405,224.0
mixer_l16_224,18.659563064575195,77.285,224.0
resnet18,6.515593528747559,77.27600000000001,224.0
vgg13,14.501135349273682,77.23,224.0
vgg11,11.102778911590576,76.384,224.0
regnetx_002,18.230838775634766,76.124,224.0
dla60x_c,24.40481662750244,75.637,224.0
tf_mobilenetv3_small_100,10.441474914550781,74.717,224.0
dla46x_c,18.950676918029785,73.64699999999999,224.0
tf_mobilenetv3_small_075,10.450973510742188,72.812,224.0
dla46_c,11.729588508605957,72.601,224.0
tf_mobilenetv3_small_minimal_100,6.815752983093262,70.111,224.0
